2025-09-09 13:49:03,789 - WARNING - Not Found: /favicon.ico
2025-09-09 13:49:07,925 - INFO - Successfully created DB engine.
2025-09-09 13:49:07,969 - INFO - package: mysql.connector.plugins
2025-09-09 13:49:07,969 - INFO - plugin_name: caching_sha2_password
2025-09-09 13:49:07,969 - INFO - AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
2025-09-09 13:49:07,969 - INFO - package: mysql.connector.plugins
2025-09-09 13:49:07,969 - INFO - plugin_name: mysql_native_password
2025-09-09 13:49:07,970 - INFO - AUTHENTICATION_PLUGIN_CLASS: MySQLNativePasswordAuthPlugin
2025-09-09 13:49:15,768 - INFO - Successfully created DB engine.
2025-09-09 13:49:34,863 - INFO - Successfully created DB engine.
2025-09-09 13:49:34,926 - INFO - Successfully created DB engine.
2025-09-09 13:49:36,900 - INFO - Excel fayldagi yillar: [1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968
 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982
 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996
 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010
 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024
 2025]
2025-09-09 13:49:36,900 - INFO - Excel fayldagi umumiy qatorlar: 36572
2025-09-09 13:49:36,901 - INFO - min_mag=4.0 bo'yicha filtrlangan qatorlar: 712
2025-09-09 13:49:36,902 - INFO - Filtrlangan yillar: [1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968
 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982
 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996
 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011
 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025]
2025-09-09 13:49:37,261 - INFO - Successfully created DB engine.
2025-09-09 13:49:37,308 - INFO - Xaritaga qo'shiladigan zilzila qatorlari: 712
2025-09-09 13:49:37,310 - INFO - Zilzila 16: Sana=1955-02-09 00:00:00, Yil=1955, Mb=4.2
2025-09-09 13:49:37,310 - INFO - Zilzila 17: Sana=1955-02-12 00:00:00, Yil=1955, Mb=4.1
2025-09-09 13:49:37,310 - INFO - Zilzila 23: Sana=1955-02-22 00:00:00, Yil=1955, Mb=4.1
2025-09-09 13:49:37,311 - INFO - Zilzila 31: Sana=1955-03-26 00:00:00, Yil=1955, Mb=4.1
2025-09-09 13:49:37,311 - INFO - Zilzila 40: Sana=1955-04-10 00:00:00, Yil=1955, Mb=4.1
2025-09-09 13:49:37,311 - INFO - Zilzila 64: Sana=1955-06-23 00:00:00, Yil=1955, Mb=5.0
2025-09-09 13:49:37,311 - INFO - Zilzila 69: Sana=1955-07-19 00:00:00, Yil=1955, Mb=5.3
2025-09-09 13:49:37,311 - INFO - Zilzila 71: Sana=1955-08-06 00:00:00, Yil=1955, Mb=4.8
2025-09-09 13:49:37,311 - INFO - Zilzila 110: Sana=1956-01-17 00:00:00, Yil=1956, Mb=4.1
2025-09-09 13:49:37,312 - INFO - Zilzila 121: Sana=1956-02-28 00:00:00, Yil=1956, Mb=4.0
2025-09-09 13:49:37,312 - INFO - Zilzila 124: Sana=1956-03-23 00:00:00, Yil=1956, Mb=4.2
2025-09-09 13:49:37,312 - INFO - Zilzila 137: Sana=1956-05-07 00:00:00, Yil=1956, Mb=4.3
2025-09-09 13:49:37,312 - INFO - Zilzila 152: Sana=1956-06-30 00:00:00, Yil=1956, Mb=4.2
2025-09-09 13:49:37,312 - INFO - Zilzila 157: Sana=1956-08-09 00:00:00, Yil=1956, Mb=4.5
2025-09-09 13:49:37,312 - INFO - Zilzila 162: Sana=1956-09-06 00:00:00, Yil=1956, Mb=4.2
2025-09-09 13:49:37,313 - INFO - Zilzila 165: Sana=1956-09-10 00:00:00, Yil=1956, Mb=4.1
2025-09-09 13:49:37,313 - INFO - Zilzila 174: Sana=1956-10-04 00:00:00, Yil=1956, Mb=4.0
2025-09-09 13:49:37,313 - INFO - Zilzila 200: Sana=1957-03-04 00:00:00, Yil=1957, Mb=4.6
2025-09-09 13:49:37,313 - INFO - Zilzila 222: Sana=1957-05-02 00:00:00, Yil=1957, Mb=4.1
2025-09-09 13:49:37,313 - INFO - Zilzila 224: Sana=1957-05-02 00:00:00, Yil=1957, Mb=4.4
2025-09-09 13:49:37,313 - INFO - Zilzila 233: Sana=1957-05-28 00:00:00, Yil=1957, Mb=4.2
2025-09-09 13:49:37,313 - INFO - Zilzila 236: Sana=1957-06-11 00:00:00, Yil=1957, Mb=4.0
2025-09-09 13:49:37,314 - INFO - Zilzila 250: Sana=1957-07-22 00:00:00, Yil=1957, Mb=4.0
2025-09-09 13:49:37,314 - INFO - Zilzila 270: Sana=1957-09-12 00:00:00, Yil=1957, Mb=4.5
2025-09-09 13:49:37,314 - INFO - Zilzila 293: Sana=1957-12-16 00:00:00, Yil=1957, Mb=4.1
2025-09-09 13:49:37,314 - INFO - Zilzila 301: Sana=1958-01-13 00:00:00, Yil=1958, Mb=5.0
2025-09-09 13:49:37,314 - INFO - Zilzila 320: Sana=1958-03-30 00:00:00, Yil=1958, Mb=4.2
2025-09-09 13:49:37,314 - INFO - Zilzila 325: Sana=1958-04-12 00:00:00, Yil=1958, Mb=4.2
2025-09-09 13:49:37,315 - INFO - Zilzila 344: Sana=1958-06-27 00:00:00, Yil=1958, Mb=4.2
2025-09-09 13:49:37,315 - INFO - Zilzila 350: Sana=1958-07-12 00:00:00, Yil=1958, Mb=4.2
2025-09-09 13:49:37,315 - INFO - Zilzila 359: Sana=1958-08-13 00:00:00, Yil=1958, Mb=5.3
2025-09-09 13:49:37,315 - INFO - Zilzila 370: Sana=1958-08-23 00:00:00, Yil=1958, Mb=4.1
2025-09-09 13:49:37,315 - INFO - Zilzila 373: Sana=1958-08-24 00:00:00, Yil=1958, Mb=4.4
2025-09-09 13:49:37,315 - INFO - Zilzila 386: Sana=1958-09-26 00:00:00, Yil=1958, Mb=4.1
2025-09-09 13:49:37,315 - INFO - Zilzila 405: Sana=1958-11-26 00:00:00, Yil=1958, Mb=4.3
2025-09-09 13:49:37,316 - INFO - Zilzila 406: Sana=1958-11-26 00:00:00, Yil=1958, Mb=4.1
2025-09-09 13:49:37,316 - INFO - Zilzila 429: Sana=1959-01-23 00:00:00, Yil=1959, Mb=4.0
2025-09-09 13:49:37,316 - INFO - Zilzila 430: Sana=1959-01-24 00:00:00, Yil=1959, Mb=4.1
2025-09-09 13:49:37,316 - INFO - Zilzila 441: Sana=1959-02-20 00:00:00, Yil=1959, Mb=4.1
2025-09-09 13:49:37,316 - INFO - Zilzila 449: Sana=1959-03-10 00:00:00, Yil=1959, Mb=4.1
2025-09-09 13:49:37,316 - INFO - Zilzila 481: Sana=1959-07-10 00:00:00, Yil=1959, Mb=4.6
2025-09-09 13:49:37,317 - INFO - Zilzila 482: Sana=1959-07-12 00:00:00, Yil=1959, Mb=4.9
2025-09-09 13:49:37,317 - INFO - Zilzila 484: Sana=1959-07-21 00:00:00, Yil=1959, Mb=4.0
2025-09-09 13:49:37,317 - INFO - Zilzila 503: Sana=1959-10-24 00:00:00, Yil=1959, Mb=5.6
2025-09-09 13:49:37,317 - INFO - Zilzila 504: Sana=1959-10-25 00:00:00, Yil=1959, Mb=4.3
2025-09-09 13:49:37,317 - INFO - Zilzila 512: Sana=1959-11-02 00:00:00, Yil=1959, Mb=4.8
2025-09-09 13:49:37,317 - INFO - Zilzila 529: Sana=1960-01-21 00:00:00, Yil=1960, Mb=4.0
2025-09-09 13:49:37,317 - INFO - Zilzila 535: Sana=1960-02-21 00:00:00, Yil=1960, Mb=4.2
2025-09-09 13:49:37,318 - INFO - Zilzila 576: Sana=1960-07-07 00:00:00, Yil=1960, Mb=4.0
2025-09-09 13:49:37,318 - INFO - Zilzila 585: Sana=1960-08-03 00:00:00, Yil=1960, Mb=4.1
2025-09-09 13:49:37,318 - INFO - Zilzila 597: Sana=1960-09-03 00:00:00, Yil=1960, Mb=4.2
2025-09-09 13:49:37,318 - INFO - Zilzila 676: Sana=1961-04-05 00:00:00, Yil=1961, Mb=4.0
2025-09-09 13:49:37,318 - INFO - Zilzila 677: Sana=1961-04-07 00:00:00, Yil=1961, Mb=5.0
2025-09-09 13:49:37,318 - INFO - Zilzila 684: Sana=1961-04-20 00:00:00, Yil=1961, Mb=4.3
2025-09-09 13:49:37,319 - INFO - Zilzila 708: Sana=1961-06-26 00:00:00, Yil=1961, Mb=4.0
2025-09-09 13:49:37,319 - INFO - Zilzila 717: Sana=1961-07-17 00:00:00, Yil=1961, Mb=4.6
2025-09-09 13:49:37,319 - INFO - Zilzila 720: Sana=1961-07-22 00:00:00, Yil=1961, Mb=4.7
2025-09-09 13:49:37,319 - INFO - Zilzila 732: Sana=1961-08-23 00:00:00, Yil=1961, Mb=5.3
2025-09-09 13:49:37,319 - INFO - Zilzila 759: Sana=1961-10-10 00:00:00, Yil=1961, Mb=4.1
2025-09-09 13:49:37,319 - INFO - Zilzila 767: Sana=1961-11-21 00:00:00, Yil=1961, Mb=4.3
2025-09-09 13:49:37,319 - INFO - Zilzila 812: Sana=1962-05-19 00:00:00, Yil=1962, Mb=4.7
2025-09-09 13:49:37,320 - INFO - Zilzila 829: Sana=1962-08-03 00:00:00, Yil=1962, Mb=5.6
2025-09-09 13:49:37,320 - INFO - Zilzila 841: Sana=1962-09-12 00:00:00, Yil=1962, Mb=4.1
2025-09-09 13:49:37,320 - INFO - Zilzila 858: Sana=1962-11-29 00:00:00, Yil=1962, Mb=4.3
